Year,Units,Series,energy source,data.energysource,Value
2017,WATTS,EG_EGY_RNEW,WIND,,410.800970873786
2017,WATTS,EG_EGY_RNEW,SOLAR,,0.0
2017,WATTS,EG_EGY_RNEW,OCEAN,,0.0
2017,WATTS,EG_EGY_RNEW,BIOFUEL,,0.0
2017,WATTS,EG_EGY_RNEW,GEO,,0.0
2018,WATTS,EG_EGY_RNEW,TOTAL,,1118.3160415004
2018,WATTS,EG_EGY_RNEW,HYDRO,,792.098962490024
2018,WATTS,EG_EGY_RNEW,WIND,,326.217079010375
2018,WATTS,EG_EGY_RNEW,SOLAR,,0.0
2018,WATTS,EG_EGY_RNEW,OCEAN,,0.0
2018,WATTS,EG_EGY_RNEW,BIOFUEL,,0.0
2018,WATTS,EG_EGY_RNEW,GEO,,0.0
2019,WATTS,EG_EGY_RNEW,TOTAL,,1036.43549560533
2019,WATTS,EG_EGY_RNEW,HYDRO,,780.620170281377
2019,WATTS,EG_EGY_RNEW,WIND,,250.702951412785
2019,WATTS,EG_EGY_RNEW,SOLAR,,5.11237391116267
2019,WATTS,EG_EGY_RNEW,OCEAN,,0.0
2019,WATTS,EG_EGY_RNEW,BIOFUEL,,0.0
2019,WATTS,EG_EGY_RNEW,GEO,,0.0
2020,WATTS,EG_EGY_RNEW,TOTAL,,1150.1727291201
2020,WATTS,EG_EGY_RNEW,HYDRO,,768.3300916383619
2020,WATTS,EG_EGY_RNEW,WIND,,368.682323569542
2020,WATTS,EG_EGY_RNEW,SOLAR,,5.03188473113285
2020,WATTS,EG_EGY_RNEW,OCEAN,,1.93534028120494
2020,WATTS,EG_EGY_RNEW,BIOFUEL,,6.19308889985582
2020,WATTS,EG_EGY_RNEW,GEO,,0.0
2021,WATTS,EG_EGY_RNEW,TOTAL,,1224.74651215979
2021,WATTS,EG_EGY_RNEW,HYDRO,,756.6516734009299
2021,WATTS,EG_EGY_RNEW,WIND,,428.83281238088
2021,WATTS,EG_EGY_RNEW,SOLAR,,4.95540138751239
2021,WATTS,EG_EGY_RNEW,OCEAN,,1.90592361058169
2021,WATTS,EG_EGY_RNEW,BIOFUEL,,32.4007013798887
2021,WATTS,EG_EGY_RNEW,GEO,,0.0
2022,WATTS,EG_EGY_RNEW,TOTAL,,1200.85962562681
2022,WATTS,EG_EGY_RNEW,HYDRO,,741.8942909645871
2022,WATTS,EG_EGY_RNEW,WIND,,420.46905659202
2022,WATTS,EG_EGY_RNEW,SOLAR,,4.85875354284113
2022,WATTS,EG_EGY_RNEW,OCEAN,,1.8687513626312
2022,WATTS,EG_EGY_RNEW,BIOFUEL,,31.7687731647304
2022,WATTS,EG_EGY_RNEW,GEO,,0.0
2000,,,,,704.8
2000,,,,data.hydro,701.4
2000,,,,data.wind,3.3
2000,,,,data.solar,0.0
2000,,,,data.ocean,0.0
2000,,,,data.biofuel,0.0
2001,,,,,694.2
2001,,,,data.hydro,690.9
2001,,,,data.wind,3.3
2001,,,,data.solar,0.0
2001,,,,data.ocean,0.0
2001,,,,data.biofuel,0.0
2002,,,,,682.3
2002,,,,data.hydro,679.1
2002,,,,data.wind,3.2
2002,,,,data.solar,0.0
2002,,,,data.ocean,0.0
2002,,,,data.biofuel,0.0
2003,,,,,713.2
2003,,,,data.hydro,668.2
2003,,,,data.wind,45.0
2003,,,,data.solar,0.0
2003,,,,data.ocean,0.0
2003,,,,data.biofuel,0.0
2004,,,,,704.2
2004,,,,data.hydro,659.7
2004,,,,data.wind,44.5
2004,,,,data.solar,0.0
2004,,,,data.ocean,0.0
2004,,,,data.biofuel,0.0
2005,,,,,740.5
2005,,,,data.hydro,655.3
2005,,,,data.wind,85.2
2005,,,,data.solar,0.0
2005,,,,data.ocean,0.0
2005,,,,data.biofuel,0.0
2006,,,,,740.7
2006,,,,data.hydro,655.5
2006,,,,data.wind,85.3
2006,,,,data.solar,0.0
2006,,,,data.ocean,0.0
2006,,,,data.biofuel,0.0
2007,,,,,741.0
2007,,,,data.hydro,655.7
2007,,,,data.wind,85.3
2007,,,,data.solar,0.0
2007,,,,data.ocean,0.0
2007,,,,data.biofuel,0.0
2008,,,,,739.6
2008,,,,data.hydro,654.5
2008,,,,data.wind,85.1
2008,,,,data.solar,0.0
2008,,,,data.ocean,0.0
2008,,,,data.biofuel,0.0
2009,,,,,737.0
2009,,,,data.hydro,652.2
2009,,,,data.wind,84.8
2009,,,,data.solar,0.0
2009,,,,data.ocean,0.0
2009,,,,data.biofuel,0.0
2010,,,,,735.6
2010,,,,data.hydro,650.9
2010,,,,data.wind,84.7
2010,,,,data.solar,0.0
2010,,,,data.ocean,0.0
2010,,,,data.biofuel,0.0
2011,,,,,736.9
2011,,,,data.hydro,652.1
2011,,,,data.wind,84.8
2011,,,,data.solar,0.0
2011,,,,data.ocean,0.0
2011,,,,data.biofuel,0.0
2012,,,,,991.8
2012,,,,data.hydro,813.6
2012,,,,data.wind,178.2
2012,,,,data.solar,0.0
2012,,,,data.ocean,0.0
2012,,,,data.biofuel,0.0
2013,,,,,996.0
2013,,,,data.hydro,817.0
2013,,,,data.wind,179.0
2013,,,,data.solar,0.0
2013,,,,data.ocean,0.0
2013,,,,data.biofuel,0.0
2014,,,,,1239.9
2014,,,,data.hydro,817.5
2014,,,,data.wind,422.5
2014,,,,data.solar,0.0
2014,,,,data.ocean,0.0
2014,,,,data.biofuel,0.0
2015,,,,,1238.9
2015,,,,data.hydro,812.7
2015,,,,data.wind,420.0
2015,,,,data.solar,0.0
2015,,,,data.ocean,6.2
2015,,,,data.biofuel,0.0
2016,,,,,1220.4
2016,,,,data.hydro,804.6
2016,,,,data.wind,415.8
2016,,,,data.solar,0.0
2016,,,,data.ocean,0.0
2016,,,,data.biofuel,0.0
2017,,,,,1205.7
2017,,,,data.hydro,794.9
2017,,,,data.wind,410.8
2017,,,,data.solar,0.0
2017,,,,data.ocean,0.0
2017,,,,data.biofuel,0.0
2018,,,,,1118.3
2018,,,,data.hydro,792.1
2018,,,,data.wind,326.2
2018,,,,data.solar,0.0
2018,,,,data.ocean,0.0
2018,,,,data.biofuel,0.0
2019,,,,,1036.4
2019,,,,data.hydro,780.6
2019,,,,data.wind,250.7
2019,,,,data.solar,5.1
2019,,,,data.ocean,0.0
2019,,,,data.biofuel,0.0
2020,,,,,1150.1
2020,,,,data.hydro,768.3
2020,,,,data.wind,368.7
2020,,,,data.solar,5.0
2020,,,,data.ocean,1.9
2020,,,,data.biofuel,6.2
2021,,,,,1224.7
2021,,,,data.hydro,756.6
2021,,,,data.wind,428.8
2021,,,,data.solar,5.0
2021,,,,data.ocean,1.9
2021,,,,data.biofuel,32.4
2022,,,,,1200.5
2022,,,,data.hydro,741.7
2022,,,,data.wind,420.3
2022,,,,data.solar,4.9
2022,,,,data.ocean,1.9
2022,,,,data.biofuel,31.8
