Year,Value
1998,76.9667252242155
1999,64.9242632804708
2000,62.700426626998
2001,60.9049129606961
2002,57.452800330375
2003,57.2206690055544
2004,54.673363504235
2005,54.9931271473713
2006,53.9400836780858
2007,54.7974861106748
2008,56.4170091857637
2009,55.5810871894031
2010,52.7947120044163
2011,54.5253737265368
2012,52.6214035376377
2013,49.8779159178062
2014,48.6523952497825
2015,49.1100770043114
2016,48.1002184704446
2017,50.6061690328494
2018,52.8511763070294
2019,50.3679975835817
2020,51.6579138391583
2021,51.1253687513937
2022,48.8886723048309
